margBLGL,n,landing,coverage
BDG,9,0,1
BRG,326,135212,0.957055214723926
CRS,50,0,1
ERK,323,0,1
MNT,108,78868,0.944444444444444
MRO,138,160609,0.978260869565217
OSF,29,5250,0.96551724137931
HKL,110,46463,0.981818181818182
NET,6,114146,0.833333333333333
TWL,867,219330,0.975778546712803
1978,124,4619,0.983870967741935
1979,102,53466,0.96078431372549
1980,271,131418,0.977859778597786
1981,237,18681,0.978902953586498
1982,249,171755,0.971887550200803
Q1,162,94607,0.981481481481482
Q2,289,80060,0.975778546712803
Q3,340,146438,0.976470588235294
Q4,192,58834,0.96875
